"TIME","GEO","CURRENCY","Value"
"2000S2","Switzerland","Euro",":"
"2000S2","United Kingdom","Euro","936.26"
"2000S2","Montenegro","Euro",":"
"2000S2","North Macedonia","Euro",":"
"2000S2","Albania","Euro","52.36"
"2000S2","Serbia","Euro",":"
"2000S2","Turkey","Euro","201.12"
"2000S2","United States","Euro","934.15"
"2001S1","Belgium","Euro","1,117.88"
"2001S1","Bulgaria","Euro","40.42"
"2001S1","Czechia","Euro","142.67"
"2001S1","Denmark","Euro",":"
"2001S1","Germany (until 1990 former territory of the FRG)","Euro",":"
"2001S1","Estonia","Euro","102.26"
"2001S1","Ireland","Euro","944.71"
"2001S1","Greece","Euro","543.55"
"2001S1","Spain","Euro","505.69"
"2001S1","France","Euro","1,083.29"
"2001S1","Croatia","Euro",":"
"2001S1","Italy","Euro",":"
"2001S1","Cyprus","Euro",":"
"2001S1","Latvia","Euro","86.75"
"2001S1","Lithuania","Euro","115.50"
"2001S1","Luxembourg","Euro","1,258.75"
"2001S1","Hungary","Euro","150.94"
"2001S1","Malta","Euro","530.42"
"2001S1","Netherlands","Euro","1,154.50"
"2001S1","Austria","Euro",":"
"2001S1","Poland","Euro","197.41"
"2001S1","Portugal","Euro","389.89"
"2001S1","Romania","Euro","41.42"
"2001S1","Slovenia","Euro","395.33"
"2001S1","Slovakia","Euro","100.15"
"2001S1","Finland","Euro",":"
"2001S1","Sweden","Euro",":"
"2001S1","Iceland","Euro",":"
"2001S1","Norway","Euro",":"
"2001S1","Switzerland","Euro",":"
"2001S1","United Kingdom","Euro","977.41"
"2001S1","Montenegro","Euro",":"
"2001S1","North Macedonia","Euro",":"
"2001S1","Albania","Euro","52.80"
"2001S1","Serbia","Euro",":"
"2001S1","Turkey","Euro","224.17"
"2001S1","United States","Euro","959.34"
"2001S2","Belgium","Euro","1,140.24"
"2001S2","Bulgaria","Euro","43.65"
"2001S2","Czechia","Euro","148.02"
"2001S2","Denmark","Euro",":"
"2001S2","Germany (until 1990 former territory of the FRG)","Euro",":"
"2001S2","Estonia","Euro","102.26"
"2001S2","Ireland","Euro","1,008.93"
"2001S2","Greece","Euro","551.70"
"2001S2","Spain","Euro","505.69"
"2001S2","France","Euro","1,127.23"
"2001S2","Croatia","Euro",":"
"2001S2","Italy","Euro",":"
"2001S2","Cyprus","Euro",":"
"2001S2","Latvia","Euro","111.30"
"2001S2","Lithuania","Euro","126.75"
"2001S2","Luxembourg","Euro","1,290.21"
"2001S2","Hungary","Euro","164.18"
"2001S2","Malta","Euro","547.76"
"2001S2","Netherlands","Euro","1,180.40"
"2001S2","Austria","Euro",":"
"2001S2","Poland","Euro","225.55"
"2001S2","Portugal","Euro","389.89"
"2001S2","Romania","Euro","56.64"
"2001S2","Slovenia","Euro","386.49"
"2001S2","Slovakia","Euro","104.11"
"2001S2","Finland","Euro",":"
"2001S2","Sweden","Euro",":"
"2001S2","Iceland","Euro",":"
"2001S2","Norway","Euro",":"
"2001S2","Switzerland","Euro",":"
"2001S2","United Kingdom","Euro","1,011.44"
"2001S2","Montenegro","Euro",":"
"2001S2","North Macedonia","Euro",":"
"2001S2","Albania","Euro","60.13"
"2001S2","Serbia","Euro",":"
"2001S2","Turkey","Euro","157.36"
"2001S2","United States","Euro","1,052.68"
"2002S1","Belgium","Euro","1,140.24"
"2002S1","Bulgaria","Euro","51.38"
"2002S1","Czechia","Euro","178.34"
"2002S1","Denmark","Euro",":"
"2002S1","Germany (until 1990 former territory of the FRG)","Euro",":"
